B,G,NIR,R,RE,RGB,size B,size G,size NIR,size R,size RE,size RGB
,,,,214J010771.tif,,,,,,512x510,
,212J010781.tif,215J010781.tif,,214J010781.tif,,,512x489,512x488,,512x480,
,,,,214J010851.tif,,,,,,512x506,
,212J010980.tif,215J010980.tif,,214J010980.tif,,,512x497,512x496,,512x488,
,,,,214J011410.tif,,,,,,512x510,
,212J012451.tif,215J012451.tif,,214J012451.tif,,,512x509,512x508,,512x500,
,,,,214J212501.tif,,,,,,512x508,
,,,,214J213540.tif,,,,,,512x506,
,,,,214JD13580.tif,,,,,,512x504,
,,,,214JD14051.tif,,,,,,512x508,
,,,,214JG10931.tif,,,,,,512x510,
,,,,214JG13620.tif,,,,,,512x506,
,,,,214JG14091.tif,,,,,,512x506,
,,,,214S015571.tif,,,,,,512x510,
,,,,214S015741.tif,,,,,,512x506,
,,,,214S018651.tif,,,,,,512x508,
,,,,214S018811.tif,,,,,,512x508,
,,,,214S019131.tif,,,,,,512x506,
,,,,214S019771.tif,,,,,,512x506,
,212S215781.tif,215S215781.tif,,214S215781.tif,,,512x509,512x508,,512x500,
,,,,214S218011.tif,,,,,,512x506,
,,,,214S218291.tif,,,,,,512x504,
,,,,214S218411.tif,,,,,,512x510,
,,,,214S218691.tif,,,,,,512x508,
,,,,214S218851.tif,,,,,,512x508,
,,,,214S219171.tif,,,,,,512x506,
,,,,214S219811.tif,,,,,,512x506,
,,,,214SD18051.tif,,,,,,512x506,
,,,,214SD18331.tif,,,,,,512x504,
,,,,214SD18451.tif,,,,,,512x510,
,,,,214SD18731.tif,,,,,,512x508,
,,,,214SD18891.tif,,,,,,512x508,
,,,,214SD19211.tif,,,,,,512x506,
,,,,214SD19851.tif,,,,,,512x506,
,,,,214SG15691.tif,,,,,,512x510,
,,,,214SG15861.tif,,,,,,512x510,
,212SG16011.tif,215SG16011.tif,,214SG16011.tif,,,512x493,512x492,,512x484,
,,,,214SG17131.tif,,,,,,512x506,
,,,,214SG18091.tif,,,,,,512x506,
,,,,214SG18371.tif,,,,,,512x504,
,,,,214SG18491.tif,,,,,,512x510,
,,,,214SG18771.tif,,,,,,512x508,
,,,,214SG18931.tif,,,,,,512x508,
,,,,214SG19251.tif,,,,,,512x506,
,,,,214SG19891.tif,,,,,,512x506,
,212T020531.tif,215T020531.tif,,214T020531.tif,,,512x511,512x510,,512x502,
,,,,214T022811.tif,,,,,,512x506,
